"V1";"V2"
"1";NA;NA
"2";"Date";"gateFiles/1-2-2012"
"3";": Σύμφωνα με την από 31.1.2012 εξουσιοδότηση του Σώματος επικυρώθηκαν με ευθύνη του Προεδρείου τα Πρακτικά της ΟΓ΄ συνεδριάσεώς του, της Τρίτης 31ης Ιανουαρίου 2012, σε ό,τι αφορά την ψήφιση στο σύνολο των σχεδίων νόμων:
1. «Επείγουσες ρυθμίσεις που αφορούν την εφαρμογή του μεσοπρόθεσμου πλαισίου δημοσιονομικής στρατηγικής 2012-2015» και 
2. «Για τα δεσποζόμενα και τα αδέσποτα ζώα συντροφιάς και την προστασία των ζώων από την εκμετάλλευση ή τη χρησιμοποίηση με κερδοσκοπικό σκοπό»)
Έχω την τιμή να ανακοινώσω στο Σώμα το δελτίο επίκαιρων ερωτήσεων της Πέμπτης 2 Φεβρουαρίου 2012, το οποίο έχει ως εξής:
Α. ΕΠΙΚΑΙΡΕΣ ΕΡΩΤΗΣΕΙΣ Πρώτου Κύκλου ( Άρθρο 130 παράγραφοι 2 και 3 του Κανονισμού της Βουλής)
1. Η με αριθμό 448/30-1-2012 επίκαιρη ερώτηση της Βουλευτού του Πανελλήνιου Σοσιαλιστικού Κινήματος κ. Βασιλικής Τσόνογλου – Βυλλιώτη προς τον Υπουργό Οικονομικών, σχετικά με την απαλλαγή των δικαιούχων του Οργανισμού Εργατικής Κατοικίας από το ειδικό τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών. 
 2. Η με αριθμό 451/30-1-2012 επίκαιρη ερώτηση του Βουλευτή της Νέας Δημοκρατίας κ. Γεράσιμου Γιακουμάτου προς τον Υπουργό Οικονομικών σχετικά με την εφαρμογή του νόμου για τη «ρύθμιση της αγοράς παιγνίων».
3. Η με αριθμό 460/30-1-2012 επίκαιρη ερώτηση του Βουλευτή του Κομμουνιστικού Κόμματος Ελλάδας κ. Αντωνίου Σκυλλάκου προς τον Υπουργό Αγροτικής Ανάπτυξης και Τροφίμων, σχετικά με την περικοπή της συνδεδεμένης ενίσχυσης που δικαιούνται οι πληγέντες παραγωγοί από το πράσινο σκουλήκι.
4. Η με αριθμό 454/30-1-2012 επίκαιρη ερώτηση της Βουλευτού του Λαϊκού Ορθόδοξου Συναγερμού κ. Ουρανίας Παπανδρέου -Παπαδάκη προς τους Υπουργούς Υγείας και Κοινωνικής Αλληλεγγύης και Εργασίας και Κοινωνικής Ασφάλισης, σχετικά με την απάλειψη από τους πίνακες του Κανονισμού Εκτίμησης Βαθμού Αναπηρίας (ΚΕΒΑ) η πάθηση του Συνδρόμου Down.
5. Η με αριθμό 456/30-1-2012 επίκαιρη ερώτηση του Βουλευτή του Συνασπισμού Ριζοσπαστικής Αριστεράς κ. Δημητρίου Παπαδημούλη προς τον Υπουργό Οικονομικών, σχετικά με τη θέση της Κυβέρνησης για την επανακεφαλαιοποίηση των τραπεζών με κοινές μετοχές χωρίς δικαίωμα ψήφου.
 Β. ΕΠΙΚΑΙΡΕΣ ΕΡΩΤΗΣΕΙΣ Δεύτερου Κύκλου (’Αρθρο 130 παράγραφοι 2 και 3 του Κανονισμού της Βουλής)
 1. Η με αριθμό 449/30-1-2012 επίκαιρη ερώτηση της Βουλευτού του Πανελλήνιου Σοσιαλιστικού Κινήματος κ. Αθανασίας Μερεντίτη προς τον Υπουργό Αγροτικής Ανάπτυξης και Τροφίμων, σχετικά με τη λήψη μέτρων μείωσης του κόστους παραγωγής στις θερμοκηπιακές καλλιέργειες. 
2. Η με αριθμό 452/30-1-2012 επίκαιρη ερώτηση του Βουλευτή της Νέας Δημοκρατίας κ. Ευσταθίου Κωνσταντινίδη προς τον Υπουργό Αγροτικής Ανάπτυξης και Τροφίμων, σχετικά με την αποζημίωση των πληγέντων κτηνοτρόφων της Περιφερειακής Ενότητας Φλώρινας για τις ζημιές που υπέστησαν από τις έντονες χιονοπτώσεις. 
 3. Η με αριθμό 461/30-1-2012 επίκαιρη ερώτηση του Βουλευτή του Κομμουνιστικού Κόμματος Ελλάδας κ. Νικολάου Μωραϊτη προς τον Υπουργό Αγροτικής Ανάπτυξης και Τροφίμων,  σχετικά με την άμεση καταβολή των αποζημιώσεων στους πληγέντες παραγωγούς εσπεριδοειδών της Άρτας για ζημιές που υπέστησαν από ισχυρό παγετό.
 4. Η με αριθμό 455/30-1-2012 επίκαιρη ερώτηση του Βουλευτή του Λαϊκού Ορθόδοξου Συναγερμού κ. Παύλου Μαρκάκη προς τον Υπουργό Ανάπτυξης, Ανταγωνιστικότητας και Ναυτιλίας, σχετικά με την παράταση του χρόνου αποπληρωμής από τους δανειολήπτες του Ταμείου Εγγυοδοσίας Μικρών και Πολύ Μικρών Επιχειρήσεων (ΤΕΜΠΜΕ).
 5. Η με αριθμό 457/30-1-2012 επίκαιρη ερώτηση του Βουλευτή του Συνασπισμού Ριζοσπαστικής Αριστεράς κ. Μιχαήλ Κριτσωτάκη προς την Υπουργό Παιδείας, Διά Βίου Μάθησης και Θρησκευμάτων, σχετικά με την επαναλειτουργία Ειδικού Εξεταστικού Κέντρου στην Κρήτη για τους μαθητές με μαθησιακές δυσκολίες των Επαγγελματικών Λυκείων. 
�
Εισερχόμεθα στην ημερήσια διάταξη της
ΝΟΜΟΘΕΤΙΚΗΣ ΕΡΓΑΣΙΑΣ
1. Μόνη συζήτηση επί της αρχής, των άρθρων και του συνόλου του σχεδίου νόμου του Υπουργείου Οικονομικών: «Κύρωση της Τροποποίησης της Σύμβασης για την Σύσταση Συμβουλίου Τελωνειακής Συνεργασίας» και
2. Μόνη συζήτηση επί της αρχής, των άρθρων και του συνόλου του σχεδίου νόμου του Υπουργείου Οικονομικών: «Κύρωση της υπ’ αριθμ. 66-2 Απόφασης του Συμβουλίου Διοικητών του Διεθνούς Νομισματικού Ταμείου σχετικά με τη Δέκατη Τέταρτη Γενική Αναθεώρηση των Μεριδίων Συμμετοχής και τη Μεταρρύθμιση του Εκτελεστικού Συμβουλίου».
Κυρίες και κύριοι συνάδελφοι, έχω την τιμή να ανακοινώσω στο Σώμα ότι τη συνεδρίασή μας παρακολουθούν από τα άνω δυτικά θεωρεία, αφού προηγουμένως ενημερώθηκαν για την ιστορία του κτηρίου και τον τρόπο οργάνωσης και λειτουργίας της Βουλής, τριάντα τέσσερις μαθητές και μαθήτριες και δύο εκπαιδευτικοί από το 4ο Δημοτικό Σχολείο Αγίου Δημητρίου Αττικής.
Η Βουλή τούς καλωσορίζει. 
(Χειροκροτήματα απ’ όλες τις πτέρυγες της Βουλής)
Τα δύο νομοσχέδια ψηφίστηκαν κατά πλειοψηφία στη Διαρκή Επιτροπή, σύμφωνα με τη διαδικασία και το άρθρο 108 του Κανονισμού της Βουλής. Δηλαδή, μπορούν να λάβουν τώρα το λόγο, όσοι έχουν αντίρρηση, εάν θέλετε και εάν έχετε αντίρρηση.";"ΕΠΙΚΥΡΩΣΗ ΠΡΑΚΤΙΚΩΝ"
"4";": Δεν έχουμε αντίρρηση.";"ΙΩΑΝΝΗΣ ΙΩΑΝΝΙΔΗΣ"
"5";": Κύριε Πρόεδρε, είχαμε εκφράσει τις επιφυλάξεις μας στην «Κύρωση της υπ’ αριθμ. 66-2 Απόφασης του Συμβουλίου Διοικητών του Διεθνούς Νομισματικού Ταμείου σχετικά με τη Δέκατη Τέταρτη Γενική Αναθεώρηση των Μεριδίων Συμμετοχής και τη Μεταρρύθμιση του Εκτελεστικού Συμβουλίου για το Διεθνές Νομισματικό Ταμείο».";"ΠΑΥΛΟΣ ΜΑΡΚΑΚΗΣ"
"6";"): Το λόγο έχει ο κ. Μαρκάκης, εκ μέρους του Λαϊκού Ορθόδοξου Συναγερμού.
Ορίστε, κύριε Μαρκάκη, έχετε το λόγο.";"Ευάγγελος Αργύρης"
"7";": Κύριε Πρόεδρε, αυτή η απόφαση του Συμβουλίου Διοικητών του Διεθνούς Νομισματικού Ταμείου έχει δύο σκέλη: 
Η πρώτη είναι η αναθεώρηση των μεριδίων συμμετοχής και η δεύτερη είναι η μεταρρύθμιση του Εκτελεστικού Συμβουλίου. Για τη μεταρρύθμιση του Εκτελεστικού Συμβουλίου δεν υπάρχουν θέματα, τα οποία απασχολούν τη χώρα μας και εν πάση περιπτώσει, δεν την επηρεάζουν σημαντικά. 
Όμως, η αύξηση και η μεταβολή των μεριδίων συμμετοχής του Διεθνούς Νομισματικού Ταμείου, των χωρών-μελών του, επηρεάζει άμεσα τη χώρα μας. Και μάλιστα είναι μία απόφαση, η οποία έχει παρθεί από το Δεκέμβριο του 2010 στο Διεθνές Νομισματικό Ταμείο. Ήδη υπάρχει μία απόφαση του Υπουργού Οικονομικών κ. Βενιζέλου από τις 8/12/2011, που την προτείνει για εφαρμογή. Και βέβαια υπάρχει και ένα θέμα εδώ ότι για να συμμετέχει η Ελλάδα στην αύξηση αυτή του μεριδίου συμμετοχής, έπρεπε να συναινέσει εγγράφως μέχρι την 31η Δεκεμβρίου του 2011. 
Υπήρξε, λοιπόν, μία απορία εκ μέρους μας αν έχουμε πάρει παράταση από αυτήν την προθεσμία, διότι σήμερα έχουμε 1η Φεβρουαρίου –καλό μήνα- και δεν ξέρουμε εάν η απόφαση, η οποία έχει ληφθεί είναι σύννομη και θα ψηφιστεί σήμερα στην Ολομέλεια.
Το δεύτερο είναι ότι η επιβάρυνση για τη χώρα μας, να συμμετέχει δηλαδή, στην αύξηση αυτή του μετοχικού κεφαλαίου είναι 1,5 δισεκατομμύριο ευρώ. Και όλοι ξέρουμε ότι αυτά τα χρήματα σύμφωνα με την απόφαση του κ. Βενιζέλου, θα παρθούν από την Τράπεζα της Ελλάδος σαν αποθεματικό, γιατί το ελληνικό δημόσιο δεν τα έχει αυτά τα χρήματα να τα συνεισφέρει.
Είχαμε, λοιπόν, ρωτήσει και τον Υπουργό στην επιτροπή αν γι’ αυτά τα χρήματα είναι δυνατόν να διαπραγματευθούμε με την Εκτελεστική Επιτροπή του Διεθνούς Νομισματικού Ταμείου, ώστε να μην δοθούν μέσα στο 2012 –κάτι που είναι δυνατόν, το Εκτελεστικό Συμβούλιο του Διεθνούς Νομισματικού Ταμείου έχει αυτήν τη δυνατότητα να το κάνει- και αντί να επιβαρυνθεί ο κρατικός μας προϋπολογισμός, που του λείπουν 4,5 δισεκατομμύρια το 2012, να επιβαρυνθεί για άλλη χρονιά. 
Βέβαια, αυτό θέλει μια διεκδίκηση και μια προσπάθεια στο Συμβούλιο Διοικητών του Διεθνούς Νομισματικού Ταμείου. Γι’ αυτό εκφράσαμε την επιφύλαξή μας. Απάντηση δεν πήραμε. Αν έχει την καλοσύνη ο Υπουργός, θα θέλαμε να μας δώσει αυτές τις δύο διευκρινίσεις στην Ολομέλεια, αν δηλαδή κατ’ αρχάς έχουμε πάρει παράταση για να ψηφίσουμε τώρα αυτήν την αύξηση του 1,5 δισεκατομμυρίου ευρώ και αν υπάρχει η δυνατότητα αυτά τα χρήματα να μην δοθούν τώρα –ή να δοθεί ένα μικρότερο ποσό- ώστε να ξεπεράσουμε την οικονομική συγκυρία, στην οποία βρίσκεται η χώρα μας.";"ΠΑΥΛΟΣ ΜΑΡΚΑΚΗΣ"
"8";"): Ο Αναπληρωτής Υπουργός Οικονομικών κ. Οικονόμου έχει το λόγο για να δώσει τις απαραίτητες διευκρινίσεις. 
Ορίστε, κύριε Υπουργέ.";"Ευάγγελος Αργύρης"
"9";" (Αναπληρωτής Υπουργός Οικονομικών): Κύριε συνάδελφε, αυτά τα ζητήματα τα είχατε θέσει και στην επιτροπή. Θέμα παράτασης δεν υπάρχει. Είναι αποδεκτό να γίνει η ψήφιση τώρα και να παραχθούν τα αποτελέσματα. 
Καθ’ όσον δεν αφορά τον τρόπο της καταβολής, υπάρχουν και αυτοί οι τρόποι που λέτε και πολλοί περισσότεροι, οι οποίοι δεν μπορεί να προδιαγραφούν νομοθετικά. Δεν απασχολούν το Νομοθετικό Σώμα, διότι είτε με τον έναν είτε με τον άλλον τρόπο ασφαλώς καλύπτονται από αυτήν την απόφαση. Μην έχετε καμμία αμφιβολία για το πότε θα γίνει. 
Επίσης, κάνατε μια διαπίστωση, επί της οποίας στηρίξατε το συλλογισμό σας, ότι υπάρχει ταμειακή δυσχέρεια του ελληνικού δημοσίου να τα καταβάλει και γι’ αυτό θα γίνει μέσω της Τράπεζας της Ελλάδος. Δεν είναι αυτός ο λόγος, αλλά ας μην εμπλακούμε σε λεπτομέρειες που δεν έχουν σχέση με το νομοθέτημα. 
Εδώ πρόκειται για μία Κύρωση, η οποία απεικονίζει αφ’ ενός την αλλαγή των συσχετισμών στους κόλπους του Διεθνούς Νομισματικού Ταμείου –δηλαδή την άνοδο αναπτυσσόμενων χωρών σε σχέση με τον παλιό δυτικό κόσμο- και αφ’ ετέρου την αύξηση της δικής μας συμμετοχής και ως ποσοστό παρουσίας και με το αντίστοιχο αντίτιμο. 
Από εκεί και πέρα, αυτές οι κινήσεις θα γίνουν. Δεν τίθεται θέμα ούτε για εκπρόθεσμη έγκριση εκ μέρους της Βουλής ούτε για αδυναμία καταβολής από το δημόσιο και γι’ αυτό θα κάνουμε διάφορα περίπλοκα σχήματα, για να μεταθέσουμε ταμειακά την καταβολή. Δεν υπάρχει τέτοιο θέμα.";"ΠΑΝΤΕΛΗΣ ΟΙΚΟΝΟΜΟΥ"
"10";"): Ευχαριστούμε, κύριε Υπουργέ. 
Κυρίες και κύριοι συνάδελφοι, ο Κοινοβουλευτικός Εκπρόσωπος του Κομμουνιστικού Κόμματος Ελλάδας με επιστολή του προς τον Πρόεδρο της Βουλής κάνει γνωστό ότι ειδικός αγορητής για τη συζήτηση των δύο αυτών νομοσχεδίων είναι ο κ. Απόστολος Νάνος. 
Κύριε Νάνο, στην επιτροπή είχατε εκφράσει την αντίρρησή σας. Θέλετε το λόγο επί του νομοσχεδίου;";"Ευάγγελος Αργύρης"
