"","Misc","SpeechBody","SpeechID","ParliamentaryRole","Speaker","SpeakerID","Date","id"
"6517","2
ΣΥΝΕΔΡΙΑΣΗ "," Κυρίες και κύριοι συνάδελφοι, αρχίζει η συνεδρίαση.
Έχω την τιμή να ανακοινώσω στο Σώμα το δελτίο αναφορών και ερωτήσεων της Τρίτης 14 Ιανουαρίου 2014.
Α.  ΑΝΑΦΟΡΕΣ-ΕΡΩΤΗΣΕΙΣ Πρώτου Κύκλου (Άρθρο 130 παράγραφος 5 του Κανονισμού της Βουλής)
1. Η με αριθμό 4418/29-11-2013 ερώτηση του Βουλευτή Ιωαννίνων της Νέας Δημοκρατίας κ. Σταύρου Καλογιάννη προς τον Υπουργό Αγροτικής Ανάπτυξης και Τροφίμων, σχετικά με το πρόγραμμα διατήρησης αυτόχθονων σπάνιων φυλών αγροτικών ζώων.
2. Η με αριθμό 4758/10-12-2013 ερώτηση της Βουλευτού Μαγνησίας των Ανεξάρτητων Ελλήνων κ. Μαρίνας Χρυσοβελώνη προς τον Υπουργό Υγείας, σχετικά με την έλλειψη παιδιάτρων στη Μαγνησία.
 3. Η με αριθμό 2054/26-9-2013 ερώτηση του Βουλευτή Νομού Αττικής της Δημοκρατικής Αριστεράς κ. Βασιλείου Οικονόμου προς τον Υπουργό Παιδείας και Θρησκευμάτων, σχετικά με τη μετατροπή του κτηρίου που κατασκευάστηκε για να στεγαστεί το 13ο Γυμνάσιο σε αστυνομικό τμήμα στην Αυλίζα Αχαρνών.
 Β. ΑΝΑΦΟΡΕΣ-ΕΡΩΤΗΣΕΙΣ Δεύτερου Κύκλου (Άρθρο 130 παράγραφος 5 του Κανονισμού της Βουλής)
1. Η με αριθμό 2595/11-102013 ερώτηση του Βουλευτή Α΄ Αθηνών της Νέας Δημοκρατίας κ. Νικήτα Κακλαμάνη προς τον Υπουργό Υγείας, σχετικά με τη λειτουργία των Κοινωνικών Φαρμακείων.
Κυρίες και κύριοι συνάδελφοι, έχω την τιμή να ανακοινώσω στο Σώμα τα εξής:
Πρώτον, ο Υπουργός Οικονομικών, ο Αντιπρόεδρος της Κυβέρνησης και Υπουργός Εξωτερικών και ο Υπουργός Ανάπτυξης και Ανταγωνιστικότητας κατέθεσαν σχέδιο νόμου: «Κύρωση της Συμφωνίας μεταξύ της Κυβέρνησης της Ελληνικής Δημοκρατίας και του Κράτους του Γκέρνσεϋ για την ανταλλαγή πληροφοριών σχετικά με φορολογικά θέματα».
Δεύτερον, ο Αντιπρόεδρος της Κυβέρνησης και Υπουργός Εξωτερικών και οι Υπουργοί Οικονομικών, Εσωτερικών, Δικαιοσύνης, Διαφάνειας και Ανθρωπίνων Δικαιωμάτων και Δημόσιας Τάξης και Προστασίας του Πολίτη κατέθεσαν σχέδιο νόμου: «Κύρωση του Πρωτοκόλλου για τα Προνόμια και τις Ασυλίες του Κέντρου Επιβολής Νόμου της Νοτιοανατολικής Ευρώπης». 
Παραπέμπονται στις αρμόδιες Διαρκείς Επιτροπές. 
Επίσης, θέλω να ανακοινώσω στο Σώμα ότι ο Βουλευτής Β΄ Αθηνών κ. Πέτρος Τατσόπουλος με επιστολή του προς τον Πρόεδρο της Βουλής κ. Ευάγγελο Μεϊμαράκη γνωστοποιεί την παραίτησή του από το αξίωμα του Βουλευτή.",8128,"Chairman","ΠΡΟΕΔΡΕΥΩΝ",90,"13-1-2014",90
"6518","
Σημείωση: Ο παρακάτω πίνακας περιεχομένων δεν αποτελεί το τελικό κείμενο, διότι εκκρεμούν ορθογραφικές και συντακτικές διορθώσεις)
ΠΙΝΑΚΑΣ ΠΕΡΙΕΧΟΜΕΝΩΝ
ΙΕ΄ ΠΕΡΙΟΔΟΣ 
ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ
ΣΥΝΟΔΟΣ Β΄
ΣΥΝΕΔΡΙΑΣΗ ΞΔ΄
Δευτέρα  13 Ιανουαρίου 2014
ΘΕΜΑΤΑ
 
Α. ΕΙΔΙΚΑ ΘΕΜΑΤΑ 
1. Ανακοινώνεται ότι ο Βουλευτής Β΄ Αθήνας κ. Πέτρος Τατσόπουλος, με επιστολή του προς τον Πρόεδρο της Βουλής κ. Ευάγγελο Μεϊμαράκη γνωστοποιεί την απόφασή του να ανεξαρτητοποιηθεί, αποχωρώντας από την Κοινοβουλευτική Ομάδα του Συνασπισμού Ριζοσπαστικής Αριστεράς (ΣΥΡΙΖΑ), σελ. 
2. Επί διαδικαστικού θέματος, σελ. 
 
Β. ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΟΣ ΕΛΕΓΧΟΣ 
1. Απαντήσεις Υπουργών σε ερωτήσεις Βουλευτών, σελ. 
2. Ανακοίνωση του δελτίου αναφορών και ερωτήσεων της Τρίτης 14 Ιανουαρίου 2014, σελ. 
3. Συζήτηση επίκαιρης ερώτησης προς τον Υπουργό Υγείας, σχετικά με την Προγραμματική Σύμβαση για τη Λειτουργία των Κέντρων Πρόληψης και τις οφειλές του ΟΚΑΝΑ, σελ. 
 
Γ. ΝΟΜΟΘΕΤΙΚΗ ΕΡΓΑΣΙΑ 
Κατάθεση σχεδίων νόμων:
   α) Ο Υπουργός Οικονομικών, ο Αντιπρόεδρος της Κυβέρνησης και Υπουργός Εξωτερικών και ο Υπουργός Ανάπτυξης και Ανταγωνιστικότητας κατέθεσαν σχέδιο νόμου: «Κύρωση της Συμφωνίας μεταξύ της Κυβέρνησης της Ελληνικής Δημοκρατίας και του Κράτους του Γκέρνσεϋ για την ανταλλαγή πληροφοριών σχετικά με φορολογικά θέματα», σελ. 
   β) Ο Αντιπρόεδρος της Κυβέρνησης και Υπουργός Εξωτερικών και οι Υπουργοί Οικονομικών, Εσωτερικών, Δικαιοσύνης, Διαφάνειας και Ανθρωπίνων Δικαιωμάτων και Δημόσιας Τάξης και Προστασίας του Πολίτη κατέθεσαν σχέδιο νόμου: «Κύρωση του Πρωτοκόλλου για τα Προνόμια και τις Ασυλίες του Κέντρου Επιβολής Νόμου της Νοτιοανατολικής Ευρώπης», σελ. 

ΠΡΟΕΔΡΕΥΩΝ
ΚΑΛΑΝΤΖΗΣ Γ. , σελ.

ΟΜΙΛΗΤΕΣ

Α. Επί διαδικαστικού θέματος:
ΓΕΩΡΓΙΑΔΗΣ Σ. , σελ.
ΚΑΛΑΝΤΖΗΣ Γ. , σελ.

Β. Επί της επίκαιρης επερώτησης:
ΓΕΩΡΓΙΑΔΗΣ Σ. , σελ.
ΚΥΡΙΑΚΑΚΗΣ Β. , σελ.

 
ΠΡΑΚΤΙΚΑ ΒΟΥΛΗΣ
ΙΕ’ ΠΕΡΙΟΔΟΣ
ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ
ΣΥΝΟΔΟΣ Β’
ΣΥΝΕΔΡΙΑΣΗ ΞΔ’
Δευτέρα 13 Ιανουαρίου 2014
Αθήνα, σήμερα στις 13 Ιανουαρίου 2014, ημέρα Δευτέρα και ώρα 18.03΄ συνήλθε στην Αίθουσα των συνεδριάσεων του Βουλευτηρίου η Βουλή σε ολομέλεια για να συνεδριάσει υπό την προεδρία του Β΄ Αντιπροέδρου αυτής κ. ΓΕΩΡΓΙΟΥ ΚΑΛΑΝΤΖΗ.
"," Από το αξίωμα του Βουλευτή;",8129,""," ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ ΓΕΩΡΓΙΑΔΗΣ",51,"",51
"6519","
"," Η επιστολή του κ. Τατσόπουλου δεν λέει κάτι τέτοιο. Η επιστολή λέει τα εξής: «Γνωρίζω την απόφασή μου να ανεξαρτητοποιηθώ, αποχωρώντας από την Κοινοβουλευτική Ομάδα του Συνασπισμού Ριζοσπαστικής Αριστεράς.» Έγινε εκ παραδρομής.",8130,"Chairman","ΠΡΟΕΔΡΕΥΩΝ",90,"",90
"6520","
"," Θα τη διαβάσουμε τώρα για να μην υπάρξει παρεξήγηση. 
Ο κ. Πέτρος-Γεώργιος Τατσόπουλος Βουλευτής Β΄ Αθηνών με επιστολή του προς τον Πρόεδρο της Βουλής των Ελλήνων, αναφέρει τα εξής: «Αξιότιμε κύριε Πρόεδρε, με την επιστολή μου αυτή σας γνωρίζω την απόφασή μου να ανεξαρτητοποιηθώ, αποχωρώντας από την Κοινοβουλευτική Ομάδα του Συνασπισμού Ριζοσπαστικής Αριστεράς (ΣΥΡΙΖΑ). Με τιμή Πέτρος-Γεώργιος Τατσόπουλος.»
Για να μη μας κατηγορούν ότι μόνο εμείς κάνουμε λάθη, που κάνουμε.
Κατατίθεται για τα Πρακτικά.
(Στο σημείο αυτό κατατίθεται για τα Πρακτικά το προαναφερθέν έγγραφο, το οποίο έχοει ως εξής:
(Να μπει η σελ. 5)",8131,"Chairman"," ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ ΓΕΩΡΓΙΑΔΗΣ",90,"",90
"6521"," 
"," Κυρίες και κύριοι συνάδελφοι, εισερχόμαστε στη συζήτηση των 
ΕΠΙΚΑΙΡΩΝ ΕΡΩΤΗΣΕΩΝ
Θα συζητηθεί η δεύτερη με αριθμό 395/7-1-2014 επίκαιρη ερώτηση πρώτου κύκλου του Βουλευτή Φθιώτιδας του Συνασπισμού Ριζοσπαστικής Αριστεράς κ. Βασιλείου Κυριακάκη προς τον Υπουργό Υγείας, σχετικά με την Προγραμματική Σύμβαση για τη Λειτουργία των Κέντρων Πρόληψης και τις οφειλές του ΟΚΑΝΑ.
Κύριε συνάδελφε, έχετε το λόγο.",8132,"Chairman","ΠΡΟΕΔΡΕΥΩΝ",90,"",90
"6522","
"," Ευχαριστώ, κύριε Πρόεδρε.
Κύριε Υπουργέ, γνωρίζετε ότι τα Κέντρα Πρόληψης και Προαγωγής της Ψυχοκοινωνικής Υγείας λειτουργούν ως εβδομήντα τρεις ξεχωριστές αστικές εταιρείες που κάθε μια συμβάλλεται διμερώς με τον ΟΚΑΝΑ, επιχορηγείται από δύο Υπουργεία μέσα από δαιδαλώδεις διαδρομές και λειτουργεί με δικές της ταχύτητες η καθεμία.
Το πλαίσιο αυτό είναι απαράδεκτο και το έχουμε καταγγείλει πολλές φορές. Μάλιστα, με συγκεκριμένη τροπολογία έχουμε προτείνει την αλλαγή του. Σήμερα ουσιαστικά η συνέχιση της λειτουργίας τους βασίζεται κυρίως στο φιλότιμο των εργαζομένων που στην πλειοψηφία τους συνεχίζουν να προσφέρουν στην κοινωνία και παράλληλα να διεκδικούν δυναμικά τα δικαιώματά τους. 
Από την τελευταία έκθεση του ΕΚΤΕΠΝ, προκύπτει ότι περισσότεροι από πενήντα χιλιάδες άνθρωποι στη χώρας δέχονται τις υπηρεσίες τους πανελλαδικά. Γι’ αυτό, άλλωστε, ασχολούμαστε και με το ζήτημα. Διότι πιστεύουμε ότι το έργο των Κέντρων Πρόληψης αξίζει. Μάλιστα, έχουμε καταθέσει πρόταση διασφάλισης του δημόσιου χαρακτήρα του με τη μετεξέλιξη των δομών σε παραρτήματα δεκατριών ΝΠΔΔ ανά διοικητική περιφέρεια και υπαγόμενα στο Υπουργείο Υγείας. Μέχρι να το πετύχουμε, η κεντρική προγραμματική σύμβαση για τη λειτουργία των Κέντρων Πρόληψης είναι η ελάχιστη για τη λειτουργία τους ως σύνολο δομών. Η ισχύουσα σύμβαση έληξε και δεν έχει υπογραφεί η ανανέωσή της από τους συνομολογούντες, ανάμεσα στους οποίους είναι και το Υπουργείο Υγείας. 
Το σχέδιο της νέας προγραμματικής σύμβασης έχει αποσταλεί στις ηγεσίες και προφανώς έχει φτάσει και σε εσάς. Στο σχέδιο προβλέπονταν ως ελάχιστο ετήσιο ποσό επιχορήγησης των Κέντρων Πρόληψης τα 16 εκατομμύρια ευρώ, από τα οποία 8 εκατομμύρια ευρώ θα έπρεπε να εγγραφούν στον κωδικό «2555»  του προϋπολογισμού του Υπουργείου Υγείας για το 2014. Τελικά εγγράφηκαν 6,5 εκατομμύρια ευρώ. 
Το πρώτο ερώτημα, λοιπόν, είναι το εξής: Θα υπογράψετε και με ποια ποσά την προγραμματική σύμβαση για τη λειτουργία των Κέντρων Πρόληψης; Θα φροντίσετε, ώστε μέχρι την υπογραφή της να παραταθεί η ισχύς της προγραμματικής σύμβασης του 2009-2013; 
Επίσης, στις 25-9-2013 κατατέθηκε από Βουλευτές του ΣΥΡΙΖΑ ερώτηση –την οποία είχα συνυπογράψει- με την οποία ζητούσαμε τον ακριβή υπολογισμό και την απόδοση των οφειλομένων ποσών, ποσών δηλαδή που το Υπουργείο Υγείας είχε διαθέσει στον ΟΚΑΝΑ αποκλειστικά για τα Κέντρα Πρόληψης για την περίοδο 1η Ιανουαρίου 2009 έως τον Ιούλιο του 2013. 
(Στο σημείο αυτό κτυπάει το κουδούνι λήξεως του χρόνου ομιλίας του κυρίου Βουλευτή)
Αυτή η ερώτηση είχε βασιστεί στην αντιπαραβολή στοιχείων που είχαμε κάνει από έγγραφο που μας είχε δώσει η Πρόεδρος του ΟΚΑΝΑ -στην ΕΕΚΕ Υγείας του ΣΥΡΙΖΑ- μετά από συνάντηση που είχαμε. Το δεύτερο στοιχείο που πήραμε είναι επίσημα στοιχεία από το Υπουργείο Υγείας για τη χρηματοδότηση των Κέντρων Πρόληψης. Έτσι, λοιπόν, είδαμε ότι υπήρχε ένα υπόλοιπο χρηματοδότησης γύρω στα 7 εκατομμύρια ευρώ, τα οποία δεν είχαν κατανεμηθεί από τον ΟΚΑΝΑ στα Κέντρα Πρόληψης μέχρι το Σεπτέμβριο του 2013. Εκείνη η ερώτησή μας δεν απαντήθηκε, ενώ δεν κατατέθηκαν και τα ζητούμενα έγγραφα. 
(Στο σημείο αυτό κτυπάει επαναληπτικά το κουδούνι λήξεως του χρόνου ομιλίας του κυρίου Βουλευτή)
Κύριε Πρόεδρε, ολοκληρώνω.
Στο μεταξύ, όμως, η Διοίκηση του ΟΚΑΝΑ με ανακοινώσεις της τον Νοέμβρη και τον Δεκέμβρη του 2013 αναγνωρίζει ότι δεν έχει αποδώσει 2.518.000 ευρώ σε Κέντρα Πρόληψης. 
Το δεύτερο, λοιπόν, ερώτημα είναι ποιο είναι ακριβώς το ύψος των χρημάτων που έχει εκταμιεύσει το Υπουργείο Υγείας για τα Κέντρα Πρόληψης και η Διοίκηση του ΟΚΑΝΑ δεν έχει αποδώσει σε αυτά. Επίσης, θα φροντίσετε για την άμεση απόδοσή τους, κύριε Υπουργέ; 
Σας ευχαριστώ.",8133,""," ΒΑΣΙΛΕΙΟΣ ΚΥΡΙΑΚΑΚΗΣ",149,"",149
"6523","
"," Ευχαριστούμε, κύριε συνάδελφε. 
Τον λόγο έχει ο Υπουργός Υγείας κ. Γεωργιάδης.",8134,"Chairman","ΠΡΟΕΔΡΕΥΩΝ",90,"",90
"6524"," 
"," Ευχαριστώ πολύ, κύριε Πρόεδρε. 
Θα ήθελα να ευχηθώ καλή χρονιά και καλή νέα περίοδο.",8135,""," ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ ΓΕΩΡΓΙΑΔΗΣ",51,"",51
"6525"," 
"," Και σε εσάς ιδιαίτερα, κύριε Γεωργιάδη.",8136,"Chairman","ΠΡΟΕΔΡΕΥΩΝ",90,"",90
"6526"," 
"," Κύριε Πρόεδρε, είδατε ότι εντυπωσιάστηκα πριν με το λάθος για τον κ. Τατσόπουλο, διότι νόμιζα ότι βρήκα και μιμητή. Διότι υπενθυμίζω, κύριε Πρόεδρε, ότι εγώ στην αντίστοιχη περίπτωση, όταν είχα διαγραφεί από την Κοινοβουλευτική Ομάδα του ΛΑΟΣ, είχα παραδώσει και την έδρα μου στο πρώην κόμμα μου. Νόμιζα, λοιπόν, ότι για πρώτη φορά βρήκα άλλον έναν μιμητή. Όμως, τελικώς παραμένω μόνος μου. 
Έρχομαι λοιπόν, κύριε συνάδελφε, στα συγκεκριμένα. 
Πρώτα απ’ όλα, θα ήθελα να σας πω ότι το Υπουργείο Υγείας έχει ήδη ετοιμάσει τη νέα προγραμματική σύμβαση και αυτήν τη στιγμή που μιλάμε έχει ήδη διαβιβαστεί στο Ελεγκτικό Συνέδριο, όπου κατά το νόμο πρέπει να προηγηθεί προληπτικός έλεγχος του Ελεγκτικού Συνεδρίου για να προχωρήσουμε στην τελική υπογραφή. Είναι θέμα ημερών, λοιπόν, να μπει η υπογραφή της νέας προγραμματικής συμβάσεως από την αρμόδια Υφυπουργό κ. Μακρή, με την επίβλεψη της οποίας έχει εκπονηθεί και όλη αυτή η εργασία για να ετοιμαστεί η νέα προγραμματική συμφωνία. Όπως ξέρετε, δεν υπογράφει μόνο το Υπουργείο Υγείας, αλλά διάφοροι, αλλά υπό την επίβλεψη του Υπουργείου Υγείας και συγκεκριμένα της κ. Μακρή. 
Τώρα όσον αφορά το ζήτημα του προϋπολογισμού, όπως σωστά γράφετε στην ερώτησή σας, ο προϋπολογισμός είναι μειωμένος. Είναι στα 6,5 εκατομμύρια ευρώ κατά έτος. Υπενθυμίζω ότι 6,5 εκατομμύρια ευρώ δίνει το Υπουργείο Υγείας και 6,5 εκατομμύρια ευρώ το Υπουργείο Εσωτερικών, άλλα τόσα δηλαδή. Αρχικά η αίτηση ήταν για 8 και 8 εκατομμύρια ευρώ, δηλαδή στο σύνολο για 16 εκατομμύρια ευρώ, ενώ τελικώς στο σύνολο θα είναι 13 εκατομμύρια ευρώ. Αυτό το λέω γιατί θέλω να είμαι ακριβής. Και προλαβαίνοντας ενδεχόμενη ερώτησή σας, η μείωση αυτή έχει να κάνει με τη γενικότερη μείωση όλων των προϋπολογισμών που αφορούσαν στο Υπουργείο Υγείας φέτος –περίπου κατά 20%- για να είμαστε εντός των στόχων του προϋπολογισμού του 2014, όσον αφορά τις προσπάθειές μας. 
Τώρα, ως προς το δεύτερο ερώτημα για τα οφειλόμενα χρήματα, μετά τον έλεγχο ο οποίος διενεργήθη από προηγούμενη κοινοβουλευτική ερώτηση -νομίζω και η δική σας κοινοβουλευτική ερώτηση είχε παίξει ρόλο σε αυτό- τέθηκε ερώτημα προς τον ΟΚΑΝΑ. Όπως μας ενημερώνει ο ΟΚΑΝΑ, λοιπόν, δεν έχει αποδώσει μέχρι σήμερα 2.583.000 ευρώ από την προηγούμενη προγραμματική σύμβαση. Είναι χρήματα τα οποία ο ΟΚΑΝΑ τελικώς χρησιμοποίησε σε άλλες λειτουργικές του ανάγκες, όπως φάρμακα, υγειονομικό υλικό, εργοδοτικές εισφορές και  μισθοδοσία. Άρα, αυτή τη στιγμή δεν είναι διαθέσιμα τα χρήματα αυτά στον ΟΚΑΝΑ για να δοθούν και θα πρέπει να καλυφθούν ενδεχομένως με έκτακτη χρηματοδότηση από το Υπουργείο Υγείας και το Υπουργείο Εσωτερικών. 
Σας ευχαριστώ πολύ.",8137,""," ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ ΓΕΩΡΓΙΑΔΗΣ",51,"",51
