id	surname	firstname	name	alternativename	province	politicalparty	fullname	fathername	picture	website	email and homepage 1	parliament_start_date	email and homepage 2	email and homepage 3	email and homepage 4	contact_info
1	Αβραμιδης	 Γαβριηλ	Γαβριήλ Αβραμίδης		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	anel						17/6/2014				
2	Αβραμοπουλος	 Δημητριος	Δημήτρης Αβραμόπουλος		Α' ΑΘΗΝΩΝ	nd						17/6/2014				
3	Αγαθοπουλου	 Ειρηνη-Ελενη	Ειρήνη-Ελένη Αγαθοπούλου 		ΚΙΛΚΙΣ	syriza	Αγαθοπούλου Δημητρίου Ειρήνη-Ελένη	Δημητρίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/agathopoulouirini.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=013bab92-bddf-4508-b849-6150356536c4	iriniagath@parliament.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557
4	Αηδονης	 Χρηστος	Χρήστος Αηδόνης		ΔΡΑΜΑΣ	pasok	Αηδόνης Ευαγγέλου Χρήστος	Ευαγγέλου			xristos@aidonis.gr	17/6/2014	aidonisxristos@yahoo.gr			Αθήνα, Σέκερη 1, Τ.Κ. 10671 τηλ: 210 3675822, 3387072 FAX: 210 3675621 Δράμα, Εθνικής Επαναστάσεως 8, Τ.Κ. 66100 τηλ: 25210 58042, FAX: 25210 31177
5	Αθανασιου	 Αθανασιος	Αθανάσιος Αθανασίου 	Νάσος Αθανασιου	ΑΤΤΙΚΗΣ	syriza	Αθανασίου Ευθυμίου Αθανάσιος (Νάσος)	Ευθυμίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/athanasiounasos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=544c0d0b-e2e8-472e-adb5-ffee5488f6eb	nathan@parliament.gr	17/6/2014				Αθήνα, Βουλή των Ελλήνων, Τ.Κ. 10021
6	Αθανασιου	 Χαραλαμπος	Χαράλαμπος Αθανασίου		ΕΠΙΚΡΑΤΕΙΑΣ	nd	Αθανασίου Χριστόφα Χαράλαμπος	Χριστόφα	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/athanasiou3.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=cf4f4315-7bfe-4064-9403-b07369f0b1cb	grammateia@justice.gov.gr;	17/6/2014	xathanasiou2@gmail.com			Υπουργείο Δικαιοσύνης, Διαφάνειας και Ανθρωπίνων Δικαιωμάτων; Αθήνα, Μεσόγειων 96; ΤΚ 115 27; Τηλ. 210 7709660; Πολιτικό Γραφείο; Μυτιλήνη, Ναυμάχου Αποστόλη 1 & Καβετσου; Τ.Κ 81100; Τηλ./fax 22510 45877
7	Αλεξοπουλος	 Αποστολος	Απόστολος Αλεξόπουλος		Α' ΑΘΗΝΩΝ	syriza	Αλεξόπουλος Ιωάννη Απόστολος	Ιωάννη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Alexopoulosapostolos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=2ced727d-0d8b-4abd-bb0b-50dbdc87bb7b	aalexopoulos@parliament.gr	17/6/2014				Αθήνα, Βουλή των Ελλήνων, Τ.Κ. 10021
8	Αλεξοπουλος	 Χρυσοβαλαντης	Χρυσοβαλάντης Αλεξόπουλος 		ΛΑΡΙΣΗΣ	xa	Αλεξόπουλος Δημητρίου Χρυσοβαλάντης	Δημητρίου			chr.alexopoulos@parliament.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 10562, τηλ: τηλ: 2103706101 & 2103706301, FAX: 2103706501
9	Αμανατιδης	 Ιωαννης	Ιωάννης Αμανατίδης		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	syriza	Αμανατίδης Γεωργίου Ιωάννης	Γεωργίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/amanatidis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=6a54b198-aaf2-4f20-8d72-f0cb1364263a	amajohn1961@gmail.com	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557
10	Αμμανατιδου-Πασχαλιδου	 Ευαγγελια	"""Ευαγγελία Αμμανατίδου-Πασχαλίδου  "	Λίτσα Αμμανατιδου-Πασχαλιδου	Β' ΘΕΣΣΑΛΟΝΙΚΗΣ	syriza	Αμμανατίδου - (Πασχαλίδου) Γεωργίου Ευαγγελία (Λίτσα)	-	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/amanatidou.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=2455e6cc-db1f-46de-aaa4-47b4f9f5d1a7	litsa.ammanatidou@gmail.com	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557
