namesurname,surname,firstname,name,id,alternativename,province,politicalparty,Column
"Αβραμιδης, ΓαβριηλΓαβριήλ Αβραμίδης",Αβραμιδης, Γαβριηλ,Γαβριήλ Αβραμίδης,1,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,anel,
"Αβραμοπουλος, ΔημητριοςΔημήτρης Αβραμόπουλος",Αβραμοπουλος, Δημητριος,Δημήτρης Αβραμόπουλος,2,,Α' ΑΘΗΝΩΝ,nd,
"Αγαθοπουλου, Ειρηνη-ΕλενηΕιρήνη-Ελένη Αγαθοπούλου *(bg)*",Αγαθοπουλου, Ειρηνη-Ελενη,Ειρήνη-Ελένη Αγαθοπούλου ,3,,ΚΙΛΚΙΣ,syriza,
"Αηδονης, ΧρηστοςΧρήστος Αηδόνης",Αηδονης, Χρηστος,Χρήστος Αηδόνης,4,,ΔΡΑΜΑΣ,pasok,
"Αθανασιου, ΑθανασιοςΑθανάσιος Αθανασίου (Νάσος)",Αθανασιου, Αθανασιος,Αθανάσιος Αθανασίου ,5,Νάσος Αθανασιου,ΑΤΤΙΚΗΣ,syriza,
"Αθανασιου, ΧαραλαμποςΧαράλαμπος Αθανασίου",Αθανασιου, Χαραλαμπος,Χαράλαμπος Αθανασίου,6,,ΕΠΙΚΡΑΤΕΙΑΣ,nd,
"Αλεξοπουλος, ΑποστολοςΑπόστολος Αλεξόπουλος",Αλεξοπουλος, Αποστολος,Απόστολος Αλεξόπουλος,7,,Α' ΑΘΗΝΩΝ,syriza,
"Αλεξοπουλος, ΧρυσοβαλαντηςΧρυσοβαλάντης Αλεξόπουλος *(fr)*",Αλεξοπουλος, Χρυσοβαλαντης,Χρυσοβαλάντης Αλεξόπουλος ,8,,ΛΑΡΙΣΗΣ,xa,
"Αμανατιδης, ΙωαννηςΙωάννης Αμανατίδης",Αμανατιδης, Ιωαννης,Ιωάννης Αμανατίδης,9,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,syriza,
"Αμμανατιδου-Πασχαλιδου, ΕυαγγελιαΕυαγγελία Αμμανατίδου-Πασχαλίδου (Λίτσα) 
*(bg)*",Αμμανατιδου-Πασχαλιδου, Ευαγγελια,"Ευαγγελία Αμμανατίδου-Πασχαλίδου  
",10,Λίτσα Αμμανατιδου-Πασχαλιδου,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,syriza,
"Αναγνωστακης, ΔημητριοςΔημήτριος Αναγνωστάκης",Αναγνωστακης, Δημητριος,Δημήτριος Αναγνωστάκης,11,,ΕΥΒΟΙΑΣ,dimar,
", **",Αναγνωστοπουλος,Γιωργος,Γιώργος Αναγνωστόπουλος,12,,ΚΑΡΔΙΤΣΗΣ,nd,
"Αναστασιαδης, ΣαββαςΣάββας Αναστασιάδης *(bg)*",Αναστασιαδης, Σαββας,Σάββας Αναστασιάδης ,13,,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,nd,
"Ανδριανος, ΙωαννηςΓιάννης Ανδριανός",Ανδριανος, Ιωαννης,Γιάννης Ανδριανός,14,,ΑΡΓΟΛΙΔΟΣ,nd,
"Ανδρουλακης, ΔημητριοςΔημήτριος Ανδρουλάκης (Μίμης)",Ανδρουλακης, Δημητριος,Δημήτριος Ανδρουλάκης ,15,Μίμης Ανδρουλακης,Β' ΑΘΗΝΩΝ,pasok,
"Αντωνιου, ΜαριαΜαρία Αντωνίου",Αντωνιου, Μαρια,Μαρία Αντωνίου,16,,ΚΑΣΤΟΡΙΑΣ,nd,
"Αποστολου, ΕυαγγελοςΕυάγγελος Αποστόλου",Αποστολου, Ευαγγελος,Ευάγγελος Αποστόλου,17,,ΕΥΒΟΙΑΣ,syriza,
"Αραμπατζη, ΦωτεινηΦωτεινή Αραμπατζή *(bg)*",Αραμπατζη, Φωτεινη,Φωτεινή Αραμπατζή ,18,,ΣΕΡΡΩΝ,nd,
"Αρβανιτης-Αβραμης, ΜιχαηλΜιχαήλ Αρβανίτης-Αβράμης *(fr)*",Αρβανιτης-Αβραμης, Μιχαηλ,Μιχαήλ Αρβανίτης-Αβράμης ,19,,ΑΧΑΪΑΣ,xa,
"Αρβανιτοπουλος, ΚωνσταντινοςΚωνσταντίνος Αρβανιτόπουλος",Αρβανιτοπουλος, Κωνσταντινος,Κωνσταντίνος Αρβανιτόπουλος,20,,Α' ΠΕΙΡΑΙΩΣ,nd,
"Ασημακοπουλου, Αννα-ΜισελΆννα-Μισέλ Ασημακοπούλου",Ασημακοπουλου, Αννα-Μισελ,Άννα-Μισέλ Ασημακοπούλου,21,,ΙΩΑΝΝΙΝΩΝ,nd,
